"100Ω 0603 1%", "R0", "R0603",  "C22775"
"102Ω 0603 1%", "R1", "R0603",  "C22776"
"105Ω 0603 1%", "R2", "R0603",  "C22777"
"107Ω 0603 1%", "R3", "R0603",  "C22778"
"110Ω 0603 1%", "R4", "R0603",  "C22781"
"112Ω 0603 1%", "R5", "R0603",  ""
"114Ω 0603 1%", "R6", "R0603",  ""
"118Ω 0603 1%", "R7", "R0603",  "C22784"
"121Ω 0603 1%", "R8", "R0603",  "C22867"
"124Ω 0603 1%", "R9", "R0603",  "C22868"
"127Ω 0603 1%", "R10", "R0603",  "C12903"
"130Ω 0603 1%", "R11", "R0603",  "C22796"
"133Ω 0603 1%", "R12", "R0603",  "C12905"
"137Ω 0603 1%", "R13", "R0603",  "C22873"
"140Ω 0603 1%", "R14", "R0603",  "C22876"
"143Ω 0603 1%", "R15", "R0603",  "C22802"
"147Ω 0603 1%", "R16", "R0603",  "C22879"
"150Ω 0603 1%", "R17", "R0603",  "C22808"
"154Ω 0603 1%", "R18", "R0603",  "C22882"
"158Ω 0603 1%", "R19", "R0603",  "C22884"
"162Ω 0603 1%", "R20", "R0603",  "C103327"
"165Ω 0603 1%", "R21", "R0603",  "C22888"
"169Ω 0603 1%", "R22", "R0603",  "C22889"
"174Ω 0603 1%", "R23", "R0603",  "C22891"
"178Ω 0603 1%", "R24", "R0603",  "C22824"
"182Ω 0603 1%", "R25", "R0603",  "C22895"
"187Ω 0603 1%", "R26", "R0603",  "C22829"
"191Ω 0603 1%", "R27", "R0603",  "C12923"
"196Ω 0603 1%", "R28", "R0603",  "C12924"
"200Ω 0603 1%", "R29", "R0603",  "C8218"
"204Ω 0603 1%", "R30", "R0603",  ""
"210Ω 0603 1%", "R31", "R0603",  "C22953"
"216Ω 0603 1%", "R32", "R0603",  ""
"221Ω 0603 1%", "R33", "R0603",  "C23342"
"225Ω 0603 1%", "R34", "R0603",  ""
"231Ω 0603 1%", "R35", "R0603",  ""
"237Ω 0603 1%", "R36", "R0603",  "C23012"
"243Ω 0603 1%", "R37", "R0603",  "C22917"
"249Ω 0603 1%", "R38", "R0603",  "C22919"
"254Ω 0603 1%", "R39", "R0603",  ""
"261Ω 0603 1%", "R40", "R0603",  "C22925"
"267Ω 0603 1%", "R41", "R0603",  "C22924"
"274Ω 0603 1%", "R42", "R0603",  "C22927"
"280Ω 0603 1%", "R43", "R0603",  "C22971"
"287Ω 0603 1%", "R44", "R0603",  "C22929"
"294Ω 0603 1%", "R45", "R0603",  "C22990"
"301Ω 0603 1%", "R46", "R0603",  "C25192"
"309Ω 0603 1%", "R47", "R0603",  "C22983"
"316Ω 0603 1%", "R48", "R0603",  "C22987"
"324Ω 0603 1%", "R49", "R0603",  "C12963"
"332Ω 0603 1%", "R50", "R0603",  "C22170"
"340Ω 0603 1%", "R51", "R0603",  "C12967"
"348Ω 0603 1%", "R52", "R0603",  "C23005"
"357Ω 0603 1%", "R53", "R0603",  "C23028"
"365Ω 0603 1%", "R54", "R0603",  "C23032"
"374Ω 0603 1%", "R55", "R0603",  "C23149"
"383Ω 0603 1%", "R56", "R0603",  "C12976"
